Time,Stock,Strategy,Signal,Price,Stop Loss,Target,R:R,RSI
2026-06-30 11:22 IST,DRREDDY,MOMENTUM,BUY,₹1356.0999755859375,₹1346.03,₹1376.44,1:2.02,55.7
2026-06-30 11:23 IST,SONACOMS,SCALP,BUY,₹617.4000244140625,₹611.53,₹620.49,1:0.53,61.2
2026-06-30 11:24 IST,BHEL,MOMENTUM,SELL,₹415.3999938964844,₹418.63,₹409.17,1:1.93,43.7
2026-06-30 11:23 IST,BIOCON,SCALP,BUY,₹413.1000061035156,₹411.47,₹415.17,1:1.27,60.5
2026-06-30 11:25 IST,MGL,SWING,BUY,₹1169.699951171875,₹1154.39,₹1202.74,1:2.16,—
2026-06-30 11:26 IST,BRIGADE,SCALP,BUY,₹497.54998779296875,₹494.45,₹500.04,1:0.8,64.8
2026-06-30 11:25 IST,SONACOMS,SWING,SELL,₹617.4500122070312,₹626.22,₹600.5,1:1.93,—
2026-06-30 11:25 IST,GLAND,SWING,SELL,₹2474.0,₹2512.29,₹2401.21,1:1.9,—
2026-06-30 11:29 IST,NESTLEIND,SCALP,BUY,₹1417.5,₹1402.57,₹1424.59,1:0.47,61.1
2026-06-30 11:24 IST,RBLBANK,SCALP,BUY,₹367.6000061035156,₹366.03,₹369.44,1:1.17,52.1
2026-06-30 11:25 IST,ESAFSFB,SCALP,BUY,₹32.779998779296875,₹32.6,₹32.94,1:0.89,58.7
2026-06-30 11:25 IST,ESAFSFB,MOMENTUM,BUY,₹32.779998779296875,₹32.46,₹33.27,1:1.53,58.7
2026-06-30 11:29 IST,ADANIENT,SCALP,BUY,₹2995.0,₹2979.49,₹3009.97,1:0.97,51.4
2026-06-30 11:29 IST,INDUSTOWER,SCALP,SELL,₹394.29998779296875,₹395.48,₹392.33,1:1.67,58.9
2026-06-30 11:29 IST,SIEMENS,SCALP,BUY,₹3597.89990234375,₹3581.93,₹3615.89,1:1.13,62.6
2026-06-30 11:31 IST,HINDUNILVR,MOMENTUM,SELL,₹2126.199951171875,₹2142.37,₹2094.31,1:1.97,46.0
2026-06-30 11:29 IST,NTPC,SCALP,BUY,₹355.3500061035156,₹353.38,₹357.13,1:0.9,63.7
2026-06-30 11:26 IST,PNB,SWING,BUY,₹107.05000305175781,₹105.56,₹109.75,1:1.81,—
2026-06-30 11:28 IST,MANAPPURAM,SCALP,BUY,₹319.1499938964844,₹315.8,₹320.75,1:0.48,64.7
2026-06-30 11:28 IST,CHOLAFIN,SCALP,BUY,₹1800.0,₹1780.68,₹1809.0,1:0.47,63.9
2026-06-30 11:29 IST,NAUKRI,SCALP,SELL,₹975.9000244140625,₹978.83,₹971.02,1:1.67,57.3
2026-06-30 11:35 IST,DMART,SWING,SELL,₹4369.7998046875,₹4426.58,₹4253.82,1:2.04,—
2026-06-30 11:37 IST,HONAUT,SWING,SELL,₹39625.0,₹40231.27,₹38623.89,1:1.65,—
2026-06-30 11:35 IST,TATACONSUM,SWING,SELL,₹1080.0,₹1098.78,₹1052.01,1:1.49,—
2026-06-30 11:30 IST,APOLLOHOSP,SCALP,BUY,₹8700.0,₹8662.34,₹8743.5,1:1.16,58.8
2026-06-30 11:34 IST,BEL,SCALP,BUY,₹411.95001220703125,₹410.13,₹414.01,1:1.13,59.8
2026-06-30 11:34 IST,THERMAX,SCALP,BUY,₹5154.2001953125,₹5123.71,₹5179.97,1:0.85,59.0
2026-06-30 11:35 IST,NESTLEIND,SWING,SELL,₹1413.0,₹1438.73,₹1377.22,1:1.39,—
2026-06-30 11:36 IST,PVRINOX,SCALP,BUY,₹967.6500244140625,₹962.52,₹972.49,1:0.94,60.9
2026-06-30 11:32 IST,APOLLOTYRE,SCALP,BUY,₹425.8500061035156,₹423.82,₹427.98,1:1.05,55.7
2026-06-30 11:38 IST,INOXWIND,SCALP,BUY,₹89.81999969482422,₹88.99,₹90.27,1:0.54,62.3
2026-06-30 11:38:05 IST,CYIENT,SCALP,BUY,₹862.0,₹859.33,₹866.31,1:1.61,56.8
2026-06-30 11:39:29 IST,TATAINVEST,MOMENTUM,SELL,₹667.0499877929688,₹672.56,₹657.04,1:1.82,41.3
2026-06-30 11:34 IST,POWERGRID,SCALP,BUY,₹286.75,₹285.83,₹288.18,1:1.55,53.9
2026-06-30 11:35 IST,THERMAX,SWING,SELL,₹5146.0,₹5212.78,₹5015.24,1:1.96,—
2026-06-30 11:37 IST,ASIANPAINT,SCALP,BUY,₹2663.0,₹2654.7,₹2676.31,1:1.6,49.5
2026-06-30 11:30 IST,AAVAS,MOMENTUM,SELL,₹1490.5999755859375,₹1501.87,₹1468.24,1:1.98,44.9
2026-06-30 11:40 IST,HONAUT,SWING,SELL,₹39620.0,₹40230.97,₹38623.65,1:1.63,—
2026-06-30 11:30 IST,INDIANB,SWING,BUY,₹817.1500244140625,₹803.3,₹839.21,1:1.59,—
2026-06-30 11:33 IST,IPCALAB,SCALP,BUY,₹1666.300048828125,₹1656.14,₹1674.63,1:0.82,63.7
2026-06-30 11:34 IST,SUPRAJIT,SCALP,BUY,₹460.8500061035156,₹458.07,₹463.15,1:0.83,64.1
2026-06-30 11:34 IST,GLAXO,SCALP,BUY,₹2387.199951171875,₹2362.52,₹2399.14,1:0.48,57.6
2026-06-30 11:32 IST,5PAISA,MOMENTUM,SELL,₹353.25,₹356.23,₹347.95,1:1.78,43.7
2026-06-30 11:39 IST,PVRINOX,SCALP,BUY,₹966.5499877929688,₹962.55,₹971.38,1:1.21,55.3
2026-06-30 11:40 IST,SAIL,SWING,BUY,₹171.72999572753906,₹169.29,₹176.36,1:1.9,—
2026-06-30 11:39 IST,ASIANPAINT,SCALP,BUY,₹2664.0,₹2654.8,₹2677.32,1:1.45,51.0
2026-06-30 11:41 IST,RATNAMANI,SCALP,BUY,₹2545.0,₹2532.68,₹2557.72,1:1.03,62.1
2026-06-30 11:40 IST,NESTLEIND,SWING,SELL,₹1416.5,₹1439.17,₹1377.84,1:1.71,—
2026-06-30 11:41 IST,DMART,SCALP,BUY,₹4375.2998046875,₹4338.09,₹4397.18,1:0.59,64.7
2026-06-30 11:42 IST,TATAINVEST,MOMENTUM,SELL,₹667.3499755859375,₹672.55,₹657.34,1:1.92,43.6
2026-06-30 11:33 IST,SURYODAY,SWING,SELL,₹175.61000061035156,₹178.49,₹171.18,1:1.54,—
2026-06-30 11:43 IST,RECLTD,SCALP,BUY,₹366.25,₹364.68,₹368.08,1:1.17,48.8
2026-06-30 11:33 IST,INDUSINDBK,SCALP,BUY,₹930.5999755859375,₹921.32,₹935.25,1:0.5,63.7
2026-06-30 11:37 IST,TORNTPHARM,SCALP,BUY,₹4654.10009765625,₹4621.82,₹4677.37,1:0.72,62.0
2026-06-30 11:44 IST,PFC,SCALP,BUY,₹426.45001220703125,₹424.61,₹428.58,1:1.16,46.8
2026-06-30 11:33 IST,SBIN,SCALP,BUY,₹1040.0,₹1035.27,₹1045.2,1:1.1,52.8
2026-06-30 11:43 IST,DMART,SWING,SELL,₹4372.2001953125,₹4428.27,₹4255.0,1:2.09,—
2026-06-30 11:41 IST,BHARTIARTL,SWING,SELL,₹1871.199951171875,₹1895.84,₹1821.32,1:2.02,—
2026-06-30 11:44 IST,VOLTAS,SCALP,BUY,₹1286.199951171875,₹1281.91,₹1292.63,1:1.5,54.6
2026-06-30 11:45 IST,APLAPOLLO,MOMENTUM,SELL,₹1781.300048828125,₹1794.7,₹1754.58,1:1.99,43.2
2026-06-30 11:40 IST,ESCORTS,MOMENTUM,SELL,₹2930.699951171875,₹2953.04,₹2886.74,1:1.97,43.8
2026-06-30 11:46:07 IST,NESCO,SCALP,BUY,₹1086.0,₹1078.29,₹1091.43,1:0.7,62.4
2026-06-30 11:39 IST,LAURUSLABS,SCALP,BUY,₹1492.699951171875,₹1488.13,₹1500.16,1:1.63,56.1
2026-06-30 11:40 IST,PFIZER,SCALP,BUY,₹4438.2998046875,₹4418.57,₹4460.49,1:1.12,48.9
2026-06-30 11:40 IST,GLAXO,SWING,SELL,₹2391.800048828125,₹2432.96,₹2322.49,1:1.68,—
2026-06-30 11:37 IST,PERSISTENT,SWING,SELL,₹4288.5,₹4349.07,₹4180.53,1:1.78,—
2026-06-30 11:39 IST,PFIZER,SCALP,BUY,₹4438.60009765625,₹4418.59,₹4460.79,1:1.11,49.8
2026-06-30 11:40 IST,ASHOKLEY,SWING,SELL,₹158.1999969482422,₹160.71,₹154.05,1:1.65,—
2026-06-30 11:44 IST,BERGEPAINT,SCALP,BUY,₹522.5999755859375,₹518.44,₹525.21,1:0.63,51.3
2026-06-30 11:39 IST,TORNTPHARM,SCALP,BUY,₹4655.2998046875,₹4622.21,₹4678.58,1:0.7,63.8
2026-06-30 11:39 IST,LAURUSLABS,SCALP,BUY,₹1493.199951171875,₹1488.14,₹1500.67,1:1.48,58.5
2026-06-30 11:43 IST,BHARTIARTL,SCALP,BUY,₹1868.0,₹1856.89,₹1877.34,1:0.84,45.4
2026-06-30 11:38 IST,ICICIPRULI,SCALP,BUY,₹487.29998779296875,₹483.07,₹489.74,1:0.58,51.8
2026-06-30 11:41 IST,ABBOTINDIA,SCALP,BUY,₹25325.0,₹25218.4,₹25451.62,1:1.19,64.5
2026-06-30 11:45 IST,GODREJPROP,SWING,SELL,₹1876.4000244140625,₹1913.9,₹1821.02,1:1.48,—
2026-06-30 11:43 IST,SONACOMS,SCALP,BUY,₹617.75,₹612.04,₹620.84,1:0.54,62.8
2026-06-30 11:43 IST,HINDPETRO,SCALP,BUY,₹391.8500061035156,₹390.06,₹393.81,1:1.09,63.0
2026-06-30 11:47 IST,ZEEL,SWING,BUY,₹103.95999908447266,₹102.6,₹106.98,1:2.22,—
2026-06-30 11:45 IST,THERMAX,MOMENTUM,SELL,₹5131.2998046875,₹5176.15,₹5054.33,1:1.72,40.1
2026-06-30 11:48 IST,SAIL,SCALP,SELL,₹172.0,₹172.52,₹171.14,1:1.65,55.1
2026-06-30 11:39 IST,UTKARSHBNK,SCALP,BUY,₹14.390000343322754,₹14.31,₹14.46,1:0.87,58.1
2026-06-30 11:40 IST,CHOLAFIN,SWING,SELL,₹1799.4000244140625,₹1826.1,₹1750.33,1:1.84,—
2026-06-30 11:50 IST,ULTRACEMCO,SWING,SELL,₹11316.0,₹11482.27,₹11032.76,1:1.7,—
2026-06-30 11:44 IST,DRREDDY,SCALP,BUY,₹1358.5,₹1351.89,₹1365.29,1:1.03,62.2
2026-06-30 11:51 IST,BOSCHLTD,MOMENTUM,SELL,₹40115.0,₹40446.2,₹39513.28,1:1.82,40.3
2026-06-30 11:49 IST,TRENT,SWING,SELL,₹3274.39990234375,₹3319.46,₹3192.34,1:1.82,—
2026-06-30 11:50 IST,INDHOTEL,SWING,SELL,₹714.75,₹725.88,₹695.26,1:1.75,—
2026-06-30 11:44 IST,BIOCON,SCALP,BUY,₹413.6000061035156,₹411.62,₹415.67,1:1.05,60.1
2026-06-30 11:52 IST,INOXWIND,SCALP,BUY,₹89.69999694824219,₹89.04,₹90.15,1:0.68,50.0
2026-06-30 11:50 IST,BERGEPAINT,SWING,SELL,₹521.0,₹533.41,₹507.56,1:1.08,—
2026-06-30 11:50 IST,TITAN,SWING,SELL,₹4383.2001953125,₹4435.67,₹4256.22,1:2.42,—
2026-06-30 11:45 IST,DIVISLAB,SWING,SELL,₹6577.0,₹6675.89,₹6408.97,1:1.7,—
2026-06-30 11:52:35 IST,APOLLOTYRE,SWING,SELL,₹425.54998779296875,₹430.68,₹414.81,1:2.09,—
2026-06-30 11:50 IST,SCHAEFFLER,SWING,SELL,₹4225.0,₹4324.5,₹4088.8,1:1.37,—
2026-06-30 11:44 IST,AAVAS,SCALP,BUY,₹1492.300048828125,₹1487.45,₹1499.76,1:1.54,54.1
2026-06-30 11:54 IST,RATNAMANI,MOMENTUM,BUY,₹2551.89990234375,₹2524.23,₹2590.18,1:1.38,64.4
2026-06-30 11:44 IST,ESAFSFB,MOMENTUM,SELL,₹32.650001525878906,₹32.92,₹32.16,1:1.81,46.8
2026-06-30 11:49 IST,NTPC,SCALP,BUY,₹354.8500061035156,₹353.51,₹356.62,1:1.32,50.8
2026-06-30 11:52 IST,DABUR,SWING,SELL,₹423.6499938964844,₹428.92,₹413.02,1:2.02,—
2026-06-30 11:46 IST,KPITTECH,MOMENTUM,SELL,₹686.2999877929688,₹691.41,₹676.01,1:2.01,49.7
2026-06-30 11:54 IST,INDHOTEL,SCALP,BUY,₹716.3499755859375,₹708.76,₹719.93,1:0.47,64.8
2026-06-30 11:55 IST,JINDALSTEL,SWING,BUY,₹1063.0999755859375,₹1047.99,₹1090.01,1:1.78,—
2026-06-30 11:53 IST,COLPAL,SCALP,BUY,₹1997.800048828125,₹1984.79,₹2007.79,1:0.77,61.8
2026-06-30 11:49 IST,ASHOKLEY,SCALP,BUY,₹158.44000244140625,₹157.07,₹159.23,1:0.58,57.7
2026-06-30 11:50 IST,MGL,SWING,BUY,₹1167.800048828125,₹1150.83,₹1199.48,1:1.87,—
2026-06-30 11:45 IST,KOTAKBANK,MOMENTUM,SELL,₹392.95001220703125,₹395.96,₹387.06,1:1.96,43.8
2026-06-30 11:50 IST,TORNTPOWER,SWING,SELL,₹1418.9000244140625,₹1447.86,₹1382.75,1:1.25,—
2026-06-30 11:52 IST,ADANIENT,SWING,SELL,₹2999.10009765625,₹3038.7,₹2918.42,1:2.04,—
2026-06-30 11:52 IST,INDUSTOWER,SWING,BUY,₹392.8500061035156,₹388.26,₹403.29,1:2.27,—
2026-06-30 11:50 IST,HEROMOTOCO,SWING,SELL,₹4792.2998046875,₹4873.59,₹4660.78,1:1.62,—
2026-06-30 11:50 IST,APOLLOHOSP,SWING,SELL,₹8690.0,₹8795.29,₹8472.12,1:2.07,—
2026-06-30 11:54 IST,TIMKEN,SCALP,BUY,₹3547.89990234375,₹3516.28,₹3565.64,1:0.56,62.8
2026-06-30 11:51 IST,MOTHERSON,SWING,SELL,₹149.83999633789062,₹151.65,₹145.61,1:2.34,—
2026-06-30 12:33:36 IST,BAJAJFINSV,SCALP,BUY,₹1776.0999755859375,₹1766.97,₹1784.98,1:0.97,49.3
2026-06-30 12:33:54 IST,5PAISA,SCALP,BUY,₹354.5,₹352.6,₹356.27,1:0.93,52.0
2026-06-30 12:33:56 IST,TCS,SWING,BUY,₹2041.800048828125,₹2015.67,₹2098.84,1:2.18,—
2026-06-30 12:33:56 IST,INFY,SWING,BUY,₹1010.7999877929688,₹996.12,₹1036.45,1:1.75,—
2026-06-30 12:34:19 IST,BAJAJ-AUTO,SWING,SELL,₹9696.0,₹9865.34,₹9435.85,1:1.54,—
2026-06-30 12:34:21 IST,BHARATFORG,SCALP,BUY,₹2139.5,₹2103.1,₹2150.2,1:0.29,54.8
2026-06-30 12:34:21 IST,BHARATFORG,SWING,SELL,₹2139.5,₹2178.57,₹2077.54,1:1.59,—
2026-06-30 12:34:22 IST,BALKRISIND,SCALP,BUY,₹2197.89990234375,₹2167.57,₹2208.89,1:0.36,62.8
2026-06-30 12:34:34 IST,TORNTPOWER,SCALP,BUY,₹1419.199951171875,₹1413.45,₹1426.3,1:1.23,46.9
2026-06-30 12:34:38 IST,ADANIPORTS,SWING,SELL,₹1801.800048828125,₹1830.34,₹1756.16,1:1.6,—
2026-06-30 12:34:42 IST,POLYCAB,SWING,SELL,₹9942.0,₹10118.08,₹9641.51,1:1.71,—
2026-06-30 12:34:51 IST,CUMMINSIND,SCALP,BUY,₹5632.0,₹5599.73,₹5660.16,1:0.87,54.0
2026-06-30 12:34:55 IST,PRESTIGE,SCALP,BUY,₹1564.5999755859375,₹1554.71,₹1572.42,1:0.79,46.4
2026-06-30 12:35:24 IST,SHREECEM,SCALP,BUY,₹25255.0,₹25129.62,₹25381.27,1:1.01,41.6
2026-06-30 12:38 IST,HDFCBANK,SWING,SELL,₹799.7999877929688,₹810.12,₹779.0,1:2.02,—
2026-06-30 12:39 IST,GEOJITFSL,SCALP,BUY,₹77.80000305175781,₹77.51,₹78.19,1:1.34,48.3
2026-06-30 12:41 IST,PAYTM,SWING,SELL,₹1149.199951171875,₹1170.66,₹1117.59,1:1.47,—
2026-06-30 12:39 IST,ESAFSFB,SCALP,BUY,₹32.72999954223633,₹32.61,₹32.89,1:1.33,50.1
